"","Pop1","Pop2","Pop3","Pop4","Pop5","Pop6","Pop7","Pop8","Pop9","Pop10","Pop11","Pop12","Pop13","Pop14","Pop15","Pop16","Pop17","Pop18","Pop19","Pop20","Pop21","Pop22","Pop23","Pop24"
"Mean",0.755075471698113,0.740018867924528,0.688542635658915,0.725924528301887,0.635007194244604,0.549841059602649,0.726876033057851,0.825544554455446,0.607617021276596,0.810525252525253,0.685679245283019,0.519537572254335,0.577105590062112,0.497564245810056,0.665828125,0.477405714285714,0.62155905511811,0.534203821656051,0.537761006289308,0.669466666666667,0.630592,0.825126436781609,0.76831067961165,0.641074380165289
"SE",0.00149149428358663,0.00160830101239084,0.00238207207062977,0.00195244861172759,0.00153197175041238,0.00127505004749588,0.00141430928074667,0.00129947058144481,0.00214797513566189,0.00164008801747668,0.00165993967598226,0.00113483811566697,0.000944660485062773,0.00115994159351341,0.00115713974020014,0.00123318620111373,0.00139766167559296,0.00112997914402931,0.00112738778704475,0.00157779432254978,0.00144965031786572,0.00173887116367582,0.00180237523743957,0.00129272510301435
