"Npop2","Npop3","Npop4","Npop5","Npop6","Npop7","Npop8","Npop9","Npop10"
0.0654,0.0182,0.066,0.1183,0.0923,0.1144,0.0905,0.0868,0.087
0.0575,0.0632,0.0692,0.0485,0.1167,0.107,0.0961,0.0958,0.087
0.0166,0.0481,0.1241,0.1458,0.1212,0.0907,0.0909,0.0952,0.087
0.1107,0.1975,0.0448,0.0482,0.1193,0.1006,0.0911,0.0932,0.087
0.068,0.0468,0.1524,0.0328,0.1242,0.0468,0.0946,0.0872,0.087
0.0275,0.1033,0.1234,0.0297,0.1016,0.0475,0.097,0.0872,0.087
0.02,0.0735,0.035,0.1351,0.0567,0.0884,0.0965,0.0915,0.087
0.243,0.0722,0.1455,0.1103,0.101,0.0605,0.094,0.0868,0.087
0.0234,0.0471,0.1371,0.0373,0.1165,0.1074,0.0961,0.0958,0.087
0.0774,0.0281,0.0709,0.0592,0.1177,0.0886,0.0975,0.0958,0.087
0.0047,0.061,0.0788,0.0509,0.0951,0.0989,0.0961,0.0958,0.087
0.0575,0.0753,0.1545,0.0378,0.1226,0.1151,0.0913,0.0952,0.087
0.2149,0.0615,0.1213,0.0467,0.0496,0.0519,0.0991,0.0915,0.087
0.0856,0.0722,0.0709,0.0592,0.0745,0.0907,0.0828,0.0942,0.087
0.2149,0.0325,0.1653,0.0547,0.0987,0.0888,0.1053,0.0872,0.087
0.0357,0.0639,0.0515,0.0693,0.0941,0.0412,0.0505,0.0915,0.087
0.0856,0.1665,0.1216,0.1419,0.0567,0.0502,0.0906,0.0942,0.087
0.02,0.0708,0.1524,0.047,0.1124,0.1101,0.0911,0.0942,0.087
0.0525,0.0281,0.1021,0.1075,0.1042,0.0998,0.0505,0.0942,0.087
0.0856,0.0864,0.0674,0.0591,0.0941,0.0475,0.0906,0.0872,0.087
0.0079,0.1633,0.0659,0.0638,0.1072,0.0873,0.0911,0.0942,0.087
0.0623,0.0693,0.0572,0.1221,0.041,0.0916,0.1053,0.0952,0.087
0.243,0.1975,0.0278,0.1235,0.1153,0.1161,0.0975,0.0915,0.087
0.0166,0.0212,0.0339,0.0673,0.1117,0.049,0.0906,0.0868,0.087
0.243,0.0632,0.0555,0.1281,0.1127,0.0825,0.0952,0.0519,0.087
0.0234,0.1642,0.0634,0.063,0.1039,0.0873,0.0946,0.0915,0.087
0.0903,0.1715,0.0732,0.1351,0.1051,0.1074,0.1013,0.0868,0.087
0.0677,0.1774,0.0725,0.0655,0.131,0.0487,0.1041,0.0868,0.087
0.0047,0.0704,0.0468,0.0579,0.0528,0.102,0.0906,0.0868,0.087
0.0623,0.1839,0.0362,0.1292,0.1011,0.093,0.096,0.0915,0.087
0.0166,0.1774,0.0334,0.0509,0.0455,0.1084,0.0895,0.0958,0.087
0.0525,0.0824,0.0489,0.0576,0.1093,0.1008,0.0944,0.0868,0.087
