"Npop2","Npop3","Npop4","Npop5","Npop6","Npop7","Npop8","Npop9","Npop10"
-0.2144,-0.2973,-0.3035,-0.2634,-0.2552,-0.2551,-0.2598,-0.2956,-0.275
-0.3545,-0.3303,-0.2928,-0.278,-0.2283,-0.27,-0.3237,-0.2701,-0.275
-0.3545,-0.3176,-0.2524,-0.2648,-0.266,-0.2634,-0.2721,-0.2634,-0.275
-0.2144,-0.1591,-0.3596,-0.2503,-0.3116,-0.2731,-0.2701,-0.296,-0.275
-0.3346,-0.3635,-0.2673,-0.3374,-0.2815,-0.3068,-0.2588,-0.2829,-0.275
-0.2403,-0.3004,-0.3572,-0.2522,-0.2238,-0.2808,-0.2934,-0.2634,-0.275
-0.3452,-0.2449,-0.1924,-0.2975,-0.2838,-0.2566,-0.2837,-0.2753,-0.275
-0.2071,-0.2431,-0.295,-0.2768,-0.274,-0.244,-0.2924,-0.2829,-0.275
-0.3163,-0.2667,-0.2667,-0.2875,-0.3504,-0.2968,-0.2573,-0.2829,-0.275
-0.2409,-0.2662,-0.2811,-0.2764,-0.2545,-0.2966,-0.2511,-0.2956,-0.275
-0.2932,-0.265,-0.2611,-0.2559,-0.2804,-0.3058,-0.2781,-0.2753,-0.275
-0.2144,-0.302,-0.247,-0.2822,-0.2929,-0.2895,-0.2937,-0.2829,-0.275
-0.2414,-0.304,-0.3191,-0.2973,-0.2288,-0.263,-0.2598,-0.2651,-0.275
-0.315,-0.2988,-0.3541,-0.2559,-0.2923,-0.2658,-0.2641,-0.2829,-0.275
-0.3163,-0.3231,-0.2632,-0.3018,-0.2847,-0.2543,-0.2573,-0.2753,-0.275
-0.2306,-0.2621,-0.3027,-0.2601,-0.2433,-0.2792,-0.2837,-0.2705,-0.275
-0.3538,-0.3263,-0.2764,-0.3244,-0.292,-0.313,-0.2563,-0.263,-0.275
-0.2622,-0.2326,-0.2359,-0.3007,-0.2473,-0.2971,-0.2933,-0.263,-0.275
-0.3214,-0.3384,-0.2918,-0.2721,-0.2953,-0.2803,-0.2617,-0.271,-0.275
-0.2409,-0.263,-0.2913,-0.2359,-0.2487,-0.2957,-0.2588,-0.2651,-0.275
-0.2932,-0.3419,-0.2273,-0.309,-0.2793,-0.2654,-0.2641,-0.2829,-0.275
-0.3983,-0.3303,-0.2909,-0.2727,-0.2656,-0.2423,-0.2698,-0.2829,-0.275
-0.3653,-0.3262,-0.3106,-0.3143,-0.2654,-0.2519,-0.2641,-0.2829,-0.275
-0.315,-0.2599,-0.2668,-0.2992,-0.2916,-0.2798,-0.2622,-0.2753,-0.275
-0.2064,-0.2514,-0.2741,-0.2507,-0.2817,-0.2799,-0.2985,-0.271,-0.275
-0.2071,-0.263,-0.2909,-0.2727,-0.2238,-0.2484,-0.2846,-0.2701,-0.275
-0.2064,-0.3275,-0.2357,-0.2893,-0.2393,-0.2421,-0.2781,-0.263,-0.275
-0.1949,-0.2246,-0.2524,-0.2991,-0.2615,-0.2727,-0.2861,-0.271,-0.275
-0.2071,-0.232,-0.247,-0.254,-0.2929,-0.2796,-0.2857,-0.2701,-0.275
-0.3214,-0.2659,-0.2764,-0.3688,-0.2919,-0.2577,-0.2837,-0.2701,-0.275
-0.2159,-0.3303,-0.1924,-0.2767,-0.2713,-0.2477,-0.2861,-0.2701,-0.275
-0.2071,-0.3635,-0.3538,-0.3375,-0.2615,-0.2971,-0.2704,-0.263,-0.275
-0.297,-0.2662,-0.2636,-0.3353,-0.2372,-0.2437,-0.2837,-0.2701,-0.275
-0.2962,-0.371,-0.3223,-0.2422,-0.2666,-0.28,-0.2781,-0.2753,-0.275
-0.2409,-0.2621,-0.2281,-0.2377,-0.282,-0.2726,-0.2698,-0.271,-0.275
-0.3163,-0.348,-0.2529,-0.2898,-0.2944,-0.2867,-0.2704,-0.2651,-0.275
-0.2409,-0.2988,-0.2475,-0.2643,-0.2751,-0.2698,-0.2561,-0.296,-0.275
-0.2932,-0.224,-0.3655,-0.2845,-0.2545,-0.2437,-0.2563,-0.271,-0.275
-0.3545,-0.2016,-0.2921,-0.2721,-0.273,-0.2654,-0.2707,-0.2651,-0.275
-0.3512,-0.1912,-0.2757,-0.3523,-0.2738,-0.2798,-0.2697,-0.2651,-0.275
-0.3653,-0.2608,-0.2357,-0.3481,-0.274,-0.2875,-0.2704,-0.2651,-0.275
-0.2962,-0.265,-0.3471,-0.242,-0.2262,-0.2793,-0.293,-0.271,-0.275
-0.3163,-0.1912,-0.2966,-0.3143,-0.2838,-0.2628,-0.2566,-0.2829,-0.275
-0.2159,-0.2873,-0.3431,-0.322,-0.247,-0.2636,-0.2586,-0.2651,-0.275
-0.2159,-0.3715,-0.3224,-0.298,-0.3037,-0.3146,-0.2701,-0.2829,-0.275
-0.2889,-0.2659,-0.2803,-0.2312,-0.2654,-0.2792,-0.2701,-0.263,-0.275
-0.3626,-0.3493,-0.2503,-0.2648,-0.2238,-0.2964,-0.279,-0.2829,-0.275
-0.3286,-0.2246,-0.2944,-0.2767,-0.32,-0.2719,-0.2721,-0.2651,-0.275
-0.2926,-0.2449,-0.3223,-0.2755,-0.2924,-0.2799,-0.2704,-0.2829,-0.275
-0.2962,-0.267,-0.2664,-0.2822,-0.2451,-0.2342,-0.293,-0.2956,-0.275
-0.2592,-0.1912,-0.2674,-0.3018,-0.291,-0.2904,-0.293,-0.2753,-0.275
-0.1949,-0.3046,-0.2937,-0.2527,-0.2416,-0.2477,-0.2841,-0.296,-0.275
-0.2638,-0.2005,-0.2685,-0.2893,-0.2472,-0.3131,-0.2937,-0.2829,-0.275
-0.3983,-0.3736,-0.308,-0.2559,-0.2922,-0.2959,-0.299,-0.2753,-0.275
-0.331,-0.3279,-0.2912,-0.2643,-0.2262,-0.2658,-0.2857,-0.263,-0.275
-0.2306,-0.282,-0.2151,-0.3129,-0.2454,-0.3064,-0.2934,-0.2829,-0.275
-0.2889,-0.2841,-0.2639,-0.2222,-0.2924,-0.2519,-0.3237,-0.2829,-0.275
-0.315,-0.2326,-0.2288,-0.3646,-0.2624,-0.2408,-0.2985,-0.2956,-0.275
-0.3512,-0.2608,-0.3584,-0.277,-0.2615,-0.2895,-0.2641,-0.2634,-0.275
-0.1334,-0.2325,-0.2909,-0.2522,-0.3021,-0.3315,-0.2937,-0.2634,-0.275
-0.3286,-0.2642,-0.2529,-0.2555,-0.2469,-0.3058,-0.2928,-0.2956,-0.275
-0.2962,-0.3002,-0.2636,-0.2731,-0.3569,-0.239,-0.2697,-0.2705,-0.275
-0.2159,-0.2638,-0.2104,-0.2854,-0.32,-0.2392,-0.2721,-0.2705,-0.275
-0.1949,-0.3514,-0.3191,-0.2775,-0.2301,-0.2895,-0.2573,-0.2753,-0.275
-0.2152,-0.2608,-0.247,-0.3635,-0.2929,-0.2952,-0.2588,-0.2829,-0.275
-0.2638,-0.3303,-0.2618,-0.29,-0.2615,-0.2658,-0.2565,-0.271,-0.275
-0.2071,-0.2156,-0.3427,-0.2727,-0.3047,-0.2719,-0.2573,-0.2705,-0.275
-0.2622,-0.2319,-0.2445,-0.2963,-0.2935,-0.2658,-0.265,-0.271,-0.275
-0.3163,-0.2005,-0.3346,-0.2773,-0.2623,-0.2724,-0.2566,-0.2753,-0.275
-0.1949,-0.3231,-0.2785,-0.2288,-0.2727,-0.2731,-0.2622,-0.263,-0.275
-0.4005,-0.341,-0.3106,-0.2973,-0.2644,-0.28,-0.2561,-0.2753,-0.275
-0.3983,-0.1591,-0.3281,-0.2621,-0.2666,-0.3131,-0.2698,-0.2634,-0.275
-0.2592,-0.2099,-0.3223,-0.3523,-0.3043,-0.2959,-0.2617,-0.2634,-0.275
-0.2418,-0.2796,-0.2664,-0.3481,-0.3504,-0.27,-0.2985,-0.2701,-0.275
-0.2138,-0.3265,-0.2838,-0.322,-0.2511,-0.2421,-0.2841,-0.2651,-0.275
-0.3163,-0.301,-0.2419,-0.2991,-0.282,-0.2737,-0.2622,-0.2753,-0.275
-0.1724,-0.2467,-0.2776,-0.238,-0.2624,-0.2566,-0.2924,-0.2705,-0.275
-0.2064,-0.3703,-0.3481,-0.3221,-0.3149,-0.2541,-0.265,-0.263,-0.275
-0.2422,-0.258,-0.247,-0.2726,-0.2741,-0.2897,-0.2586,-0.2829,-0.275
-0.2159,-0.2019,-0.305,-0.3387,-0.2727,-0.2792,-0.2561,-0.2701,-0.275
-0.2414,-0.3275,-0.2492,-0.2548,-0.2731,-0.2897,-0.2566,-0.2829,-0.275
-0.2932,-0.2796,-0.2607,-0.3117,-0.2804,-0.272,-0.293,-0.271,-0.275
-0.3983,-0.2988,-0.3106,-0.2312,-0.2302,-0.2421,-0.2598,-0.2701,-0.275
-0.3286,-0.3231,-0.2051,-0.2685,-0.2288,-0.2788,-0.2928,-0.2634,-0.275
-0.3626,-0.2144,-0.224,-0.3569,-0.3134,-0.2421,-0.2933,-0.263,-0.275
-0.2138,-0.2512,-0.3538,-0.2423,-0.3052,-0.2852,-0.2841,-0.2634,-0.275
-0.4005,-0.3442,-0.3219,-0.286,-0.2735,-0.313,-0.2985,-0.2829,-0.275
-0.1724,-0.3438,-0.228,-0.3221,-0.322,-0.2867,-0.2563,-0.2651,-0.275
-0.2071,-0.2332,-0.2244,-0.3138,-0.2437,-0.2857,-0.2586,-0.296,-0.275
-0.2932,-0.3303,-0.29,-0.2773,-0.2301,-0.2555,-0.2697,-0.2753,-0.275
-0.3346,-0.2599,-0.2948,-0.2521,-0.247,-0.264,-0.2622,-0.263,-0.275
-0.297,-0.371,-0.2503,-0.2522,-0.2727,-0.2813,-0.2933,-0.2829,-0.275
-0.331,-0.2644,-0.2523,-0.2597,-0.2624,-0.2792,-0.2924,-0.2651,-0.275
-0.2152,-0.3265,-0.3346,-0.2499,-0.2469,-0.3078,-0.2837,-0.2753,-0.275
-0.2152,-0.3493,-0.2771,-0.309,-0.2747,-0.2492,-0.3237,-0.2651,-0.275
-0.3286,-0.2148,-0.2611,-0.2152,-0.3135,-0.2702,-0.279,-0.2634,-0.275
-0.2306,-0.187,-0.2115,-0.2363,-0.2852,-0.28,-0.2565,-0.2753,-0.275
-0.2159,-0.3514,-0.3747,-0.2731,-0.2944,-0.2632,-0.2704,-0.2753,-0.275
-0.3562,-0.246,-0.3747,-0.2502,-0.2929,-0.2571,-0.2846,-0.2705,-0.275
-0.2414,-0.2635,-0.3584,-0.3635,-0.2301,-0.3078,-0.3084,-0.2651,-0.275
