"Npop2","Npop3","Npop4","Npop5","Npop6","Npop7","Npop8","Npop9","Npop10"
0.0197,0.0205,0.0318,0.0364,0.0659,0.0622,0.0568,0.0484,0.053
0.0281,0.0316,0.0553,0.0693,0.0366,0.0515,0.056,0.0562,0.053
0.0986,0.075,0.0689,0.0468,0.0666,0.0527,0.0521,0.0536,0.053
0.0823,0.0396,0.0374,0.0629,0.059,0.0354,0.061,0.0562,0.053
0.0562,0.0305,0.0385,0.0431,0.0518,0.0628,0.0431,0.0551,0.053
0.0484,0.0701,0.0318,0.0602,0.0379,0.0527,0.0431,0.056,0.053
0.0576,0.0401,0.0376,0.0583,0.0538,0.0393,0.0588,0.0551,0.053
0.0368,0.0387,0.0394,0.0402,0.064,0.0323,0.0431,0.0533,0.053
0.0205,0.0751,0.0244,0.0346,0.0631,0.0539,0.058,0.0562,0.053
0.096,0.0205,0.0629,0.0436,0.0665,0.0628,0.056,0.0569,0.053
0.0835,0.0387,0.0624,0.0741,0.0421,0.0608,0.0579,0.056,0.053
0.0377,0.0622,0.026,0.0693,0.0435,0.061,0.0486,0.056,0.053
0.0562,0.0278,0.0712,0.0569,0.0373,0.0589,0.0574,0.0546,0.053
0.057,0.0721,0.0381,0.0301,0.0642,0.0638,0.0576,0.0569,0.053
0.0313,0.0439,0.0501,0.0601,0.0347,0.0336,0.0588,0.0484,0.053
0.0197,0.0307,0.0637,0.0715,0.0621,0.0581,0.0575,0.056,0.053
0.0509,0.0658,0.0559,0.0584,0.0714,0.0607,0.0491,0.0533,0.053
0.1353,0.0353,0.0355,0.043,0.0696,0.0419,0.056,0.0546,0.053
0.0377,0.0772,0.0785,0.0629,0.0668,0.0376,0.0565,0.0484,0.053
0.0313,0.0525,0.0254,0.0355,0.0313,0.0393,0.0424,0.0406,0.053
0.096,0.0397,0.0858,0.0484,0.0646,0.06,0.056,0.0484,0.053
0.0313,0.0423,0.0455,0.0355,0.0553,0.0376,0.0576,0.056,0.053
0.0846,0.0701,0.0416,0.0339,0.0571,0.0505,0.0575,0.0562,0.053
0.0281,0.0603,0.0542,0.0272,0.0571,0.0562,0.0549,0.0536,0.053
0.0197,0.0439,0.0559,0.0519,0.0682,0.0472,0.0532,0.0533,0.053
0.0986,0.0772,0.0342,0.0452,0.0467,0.0496,0.0392,0.0569,0.053
0.0978,0.1058,0.0828,0.0752,0.058,0.0609,0.0506,0.0484,0.053
0.0548,0.0357,0.0416,0.0415,0.068,0.06,0.0511,0.0545,0.053
0.0281,0.0307,0.0341,0.0764,0.0449,0.0363,0.0424,0.0536,0.053
0.0803,0.0978,0.0798,0.065,0.0379,0.0606,0.0532,0.0484,0.053
0.0122,0.0316,0.0477,0.0299,0.0332,0.0537,0.0588,0.0533,0.053
0.0835,0.0423,0.0673,0.0303,0.0692,0.0419,0.0392,0.056,0.053
0.0803,0.0616,0.0516,0.0548,0.0655,0.0419,0.0491,0.0545,0.053
0.1353,0.0658,0.0664,0.065,0.0416,0.0447,0.0597,0.0406,0.053
0.0376,0.0794,0.0388,0.0349,0.0411,0.0511,0.0554,0.0406,0.053
0.0435,0.0316,0.0301,0.0734,0.0538,0.0622,0.0388,0.0406,0.053
0.0373,0.0316,0.0497,0.0355,0.0416,0.041,0.0491,0.0533,0.053
0.0509,0.0229,0.0516,0.058,0.0543,0.0524,0.0588,0.0546,0.053
0.0498,0.0978,0.0672,0.0477,0.0534,0.0637,0.0388,0.0536,0.053
0.0226,0.0349,0.0685,0.0484,0.0664,0.0622,0.0581,0.0545,0.053
0.0212,0.0349,0.0358,0.0358,0.0696,0.055,0.0574,0.0406,0.053
0.0281,0.0661,0.0461,0.0612,0.0581,0.0622,0.0441,0.0406,0.053
0.0986,0.0333,0.0609,0.0718,0.0714,0.0519,0.0583,0.0546,0.053
0.0435,0.0364,0.0541,0.0466,0.0581,0.0606,0.06,0.0562,0.053
0.0498,0.024,0.0404,0.0748,0.0646,0.0468,0.0575,0.0546,0.053
0.0978,0.0743,0.0624,0.0412,0.0647,0.0586,0.0568,0.0536,0.053
0.1353,0.0406,0.026,0.0596,0.0651,0.0607,0.0345,0.0484,0.053
0.0477,0.0401,0.0385,0.0668,0.0696,0.0419,0.0588,0.0406,0.053
0.057,0.0997,0.0664,0.0586,0.0484,0.061,0.0583,0.0562,0.053
0.0803,0.0389,0.0828,0.0648,0.0534,0.0432,0.0554,0.0546,0.053
0.0576,0.0377,0.0244,0.0528,0.0543,0.0574,0.0583,0.0536,0.053
0.0122,0.0512,0.025,0.0656,0.0476,0.0417,0.061,0.0484,0.053
0.0583,0.0622,0.0833,0.0372,0.0471,0.0527,0.0521,0.0406,0.053
0.0576,0.0387,0.0572,0.073,0.0446,0.0419,0.0441,0.0406,0.053
0.0183,0.0751,0.0375,0.0518,0.0395,0.0519,0.0431,0.0484,0.053
0.0846,0.0397,0.0443,0.043,0.0484,0.0511,0.0588,0.0569,0.053
0.0986,0.024,0.0583,0.0613,0.0457,0.052,0.0583,0.0533,0.053
0.1034,0.0354,0.0615,0.0363,0.054,0.06,0.0506,0.0569,0.053
0.0471,0.0578,0.0475,0.0606,0.0436,0.0376,0.0554,0.0551,0.053
0.0554,0.0997,0.0662,0.064,0.0651,0.0431,0.0575,0.0484,0.053
0.0243,0.067,0.0497,0.0374,0.0426,0.0618,0.0605,0.0536,0.053
0.0205,0.0772,0.0432,0.0642,0.0423,0.0442,0.0388,0.0562,0.053
0.0313,0.0357,0.0555,0.0621,0.0423,0.0605,0.0588,0.0545,0.053
0.0498,0.0499,0.0615,0.0617,0.065,0.0352,0.0495,0.0406,0.053
0.096,0.0558,0.057,0.0466,0.0508,0.0527,0.0424,0.0536,0.053
0.0212,0.0193,0.0284,0.0488,0.0365,0.0591,0.0491,0.0562,0.053
0.0243,0.0975,0.0254,0.0501,0.0538,0.0419,0.0506,0.0546,0.053
0.0477,0.024,0.0469,0.0575,0.0416,0.0431,0.0576,0.0545,0.053
0.1353,0.0763,0.0835,0.0744,0.0433,0.0517,0.0549,0.056,0.053
0.0835,0.0512,0.0673,0.0562,0.0534,0.0431,0.0424,0.0533,0.053
0.0198,0.0727,0.0574,0.0577,0.0692,0.0388,0.0574,0.0536,0.053
0.0249,0.0421,0.0673,0.0344,0.0541,0.0514,0.0574,0.0406,0.053
0.0376,0.0406,0.0835,0.0629,0.0476,0.0515,0.0431,0.056,0.053
0.0548,0.0349,0.0341,0.0346,0.0625,0.0618,0.0583,0.0545,0.053
0.0212,0.0626,0.0357,0.0352,0.0607,0.0524,0.0565,0.0562,0.053
0.0373,0.0316,0.0541,0.0634,0.0581,0.0587,0.049,0.0406,0.053
0.0576,0.0727,0.0527,0.0606,0.0523,0.0438,0.0506,0.056,0.053
0.0373,0.0305,0.0352,0.074,0.0577,0.0631,0.0424,0.0546,0.053
0.1034,0.0743,0.0408,0.0742,0.0659,0.0387,0.0431,0.0546,0.053
0.0205,0.0421,0.0555,0.0356,0.0454,0.0628,0.0593,0.0533,0.053
0.0723,0.0859,0.0381,0.0372,0.0433,0.0587,0.0412,0.0545,0.053
0.0846,0.0622,0.0513,0.0728,0.0439,0.0445,0.056,0.0536,0.053
0.0209,0.0701,0.029,0.0468,0.0594,0.0589,0.058,0.0569,0.053
0.0823,0.0389,0.0437,0.0708,0.0481,0.0591,0.0579,0.0536,0.053
0.0554,0.0406,0.0574,0.0627,0.0581,0.06,0.0568,0.0533,0.053
0.0183,0.0626,0.0366,0.0717,0.0565,0.0451,0.0583,0.0569,0.053
0.1034,0.0278,0.0585,0.0668,0.0348,0.043,0.0575,0.0545,0.053
0.048,0.0389,0.0596,0.0452,0.0366,0.0609,0.0593,0.0533,0.053
0.0835,0.0491,0.0858,0.0449,0.0648,0.0591,0.049,0.056,0.053
0.0377,0.025,0.0637,0.0633,0.0607,0.0618,0.061,0.0569,0.053
0.0226,0.0661,0.0612,0.0339,0.0555,0.0418,0.0578,0.0406,0.053
0.0723,0.0726,0.0817,0.0533,0.0567,0.0428,0.0554,0.0569,0.053
0.0576,0.0525,0.0374,0.0525,0.0534,0.0418,0.0506,0.0533,0.053
