"","Pop1","Pop2","Pop3","Pop4","Pop5","Pop6","Pop7","Pop8","Pop9","Pop10","Pop11","Pop12","Pop13","Pop14","Pop15"
"Mean",0.680008810572687,0.697878103837472,0.69196017699115,0.683606986899563,0.655812765957447,0.702126696832579,0.682959488272921,0.731009615384615,0.776145077720207,0.688866379310345,0.689737417943107,0.777708439897698,0.667437768240343,0.701261744966443,0.681162280701754
"SE",0.00056295652395387,0.00090260877063084,0.00058131796774055,0.00179701863256538,0.00153212977642701,0.000837173304250312,0.00101084041025772,0.00107736764164597,0.00185637985831755,0.00194994077786546,0.000993464502106087,0.00102104879967666,0.000595270402798526,0.0007141380087283,0.000572987065150789
