"","Pop1","Pop2","Pop3","Pop4","Pop5","Pop6","Pop7","Pop8","Pop9","Pop10","Pop11","Pop12","Pop13","Pop14","Pop15"
"Mean",0.954149779735683,0.968031602708804,0.971592920353982,0.966327510917031,0.962889361702128,0.989574660633484,0.967296375266525,0.971822115384615,0.974538860103627,0.955810344827586,0.962332603938731,0.986869565217391,0.96018025751073,0.978402684563758,0.957030701754386
"SE",0.000511355271363469,0.000403295427418077,0.000383560395966041,0.000506642059125007,0.000404667310993906,0.000237575149573339,0.000392714177059674,0.000442655398062905,0.000723428075875926,0.000924133566917684,0.000508697425260952,0.000378273230651102,0.000327450489990624,0.000309363001758648,0.000352613822380579
