"values","interval","Category"
0.0660333333333333,1,"Neutral"
-0.0673333333333333,1,"Neutral"
0.0464731182795699,1,"Neutral"
0.00289837398373981,1,"Neutral"
0.00557377049180341,1,"Neutral"
-0.0347628865979383,1,"Neutral"
-0.033922684172137,1,"Neutral"
0.109733333333333,2,"Neutral"
0.00822222222222234,2,"Neutral"
0.0212903225806451,2,"Neutral"
-0.000215447154471563,2,"Neutral"
0.00309836065573781,2,"Neutral"
0.00181443298969065,2,"Neutral"
-0.0306126914660833,2,"Neutral"
0.0504333333333333,3,"Neutral"
-0.0253333333333335,3,"Neutral"
0.00486021505376344,3,"Neutral"
-0.000792682926829188,3,"Neutral"
0.000295081967213142,3,"Neutral"
0.0129587628865979,3,"Neutral"
-0.00162217359591539,3,"Neutral"
-0.00216666666666667,4,"Neutral"
2.77777777777908e-05,4,"Neutral"
0.00120430107526882,4,"Neutral"
4.06504065040592e-06,4,"Neutral"
0.000114754098360677,4,"Neutral"
0.000206185567010305,4,"Neutral"
-0.000472647702407006,4,"Neutral"
-0.0222758620689655,1,"Functional"
-0.0109912126537786,1,"Functional"
0.0197400295420974,1,"Functional"
0.000397849462365587,1,"Functional"
-0.0114225352112676,1,"Functional"
0.0289655172413793,2,"Functional"
-0.0115360281195079,2,"Functional"
0.00688626292466765,2,"Functional"
0.00134408602150535,2,"Functional"
0.0026901408450704,2,"Functional"
0.023,3,"Functional"
-0.0158629173989456,3,"Functional"
0.00192023633677991,3,"Functional"
0.000763440860215034,3,"Functional"
0.00219718309859156,3,"Functional"
-0.00165517241379313,4,"Functional"
0.000221441124780315,4,"Functional"
-0.000354505169867092,4,"Functional"
0.00032258064516129,4,"Functional"
-8.88178080886946e-18,4,"Functional"
-0.0301818181818186,1,"Selected"
0.0154,1,"Selected"
0.0477352941176471,1,"Selected"
-0.00236363636363639,2,"Selected"
0.0214,2,"Selected"
0.0217058823529412,2,"Selected"
-0.0119696969696969,3,"Selected"
0.0025,3,"Selected"
0.00541176470588234,3,"Selected"
0.00018181818181818,4,"Selected"
1e-04,4,"Selected"
-2.94117647058743e-05,4,"Selected"
