"","Pop1","Pop2","Pop3","Pop4","Pop5","Pop6","Pop7","Pop8","Pop9","Pop10","Pop11","Pop12","Pop13","Pop14","Pop15","Pop16","Pop17","Pop18","Pop19","Pop20","Pop21","Pop22","Pop23","Pop24","Pop25","Pop26","Pop27","Pop28","Pop29","Pop30","Pop31","Pop32","Pop33","Pop34","Pop35","Pop36","Pop37","Pop38","Pop39","Pop40","Pop41","Pop42","Pop43","Pop44","Pop45","Pop46","Pop47","Pop48","Pop49","Pop50","Pop51"
"Mean",0.579787878787879,0.882089887640449,0.711825242718447,0.612077519379845,0.724897196261682,0.793607843137255,0.744882882882883,0.784990476190476,0.810233009708738,0.684725490196078,0.633626168224299,0.69225,0.63905,0.701777777777778,0.65557264957265,0.776653846153846,0.748160714285714,0.676601769911504,0.786252873563218,0.669056603773585,0.748950495049505,0.762461538461539,0.7189,0.785655172413793,0.904292134831461,0.662173913043478,0.731456310679612,0.858404494382022,0.668256880733945,0.712761061946903,0.62608064516129,0.5726,0.581348837209302,0.7306875,0.678457627118644,0.704574074074074,0.546755905511811,0.662655737704918,0.633936507936508,0.667008403361345,0.587811023622047,0.689944444444444,0.60247619047619,0.630017094017094,0.593702479338843,0.57102479338843,0.601691056910569,0.810967741935484,0.676971428571429,0.869078651685393,0.763067961165048
"SE",0.0035385706010478,0.000251477105757744,0.0020689540702701,0.00381417924360712,0.00141766267514668,0.000698542001330097,0.00113990744078109,0.00159365092038247,0.00180208071282378,0.00364218127614863,0.00576054507028323,0.0056247710226549,0.00474041421637123,0.00546722023001357,0.00418858113849415,0.000891758081986307,0.000466048948752189,0.00344882922718141,0.00374306350705419,0.00628595844801986,0.000414191452079602,0.00141460759765604,0.00389176974440768,0.00565718898410079,0.000754431317273241,0.00639551398631486,0.00305377495225398,0.000845801400359397,0.00555677491128635,0.00208879358515017,0.00386359457639687,0.00658586589797546,0.00599123300949977,0.00363020867026975,0.00213782075599399,0.00253887297376603,0.00567858224385346,0.00207646878428616,0.00362010360120919,0.00277313537171557,0.00567592032628891,0.00228231109864588,0.00458994713425448,0.00389136475501435,0.00410120610818858,0.00756185576120713,0.00472740345834983,0.00629586978745242,0.00446851254046521,0.00126118227557547,0.00148668850531482
