"","Pop1","Pop2","Pop3","Pop4","Pop5","Pop6","Pop7","Pop8"
"Mean",0.82635,0.890903225806452,0.905,0.885272727272727,0.909172413793103,0.878275862068965,0.890214285714286,0.8904
"SE",0.00289146609046425,0.00178975830027324,0.00197935233633193,0.00249553723693057,0.00195749514348832,0.00204154543267501,0.00235001829531243,0.00209773233800784
