"","Pop1","Pop2","Pop3","Pop4","Pop5","Pop6","Pop7","Pop8"
"Mean",0.8637,0.914967741935484,0.918533333333333,0.915212121212121,0.92648275862069,0.903586206896552,0.914142857142857,0.90944
"SE",0.00272662593289874,0.00157628878514274,0.0020124661587416,0.00230900421534863,0.00188969239726526,0.00162662831136856,0.00197422141677313,0.00203402244200726
