"","Pop1","Pop2","Pop3","Pop4","Pop5","Pop6","Pop7","Pop8"
"Mean",0.8906,0.936064516129032,0.942666666666667,0.931515151515152,0.945310344827586,0.92151724137931,0.9345,0.93688
"SE",0.00237372051813106,0.00140726460545047,0.00169980417225149,0.0021519175405923,0.00175095174712489,0.00151233335870361,0.0016166330799642,0.00191181622614861
