"","Pop1","Pop2","Pop3","Pop4","Pop5","Pop6","Pop7","Pop8"
"Mean",0.64685,0.747741935483871,0.7784,0.747393939393939,0.792413793103448,0.744275862068966,0.755642857142857,0.77176
"SE",0.00307107766689026,0.00212607022093354,0.0025568991462837,0.00280090740071524,0.0025003484729456,0.00317068873548024,0.00255057830204444,0.00246535204817545
