"","Pop1","Pop2","Pop3","Pop4","Pop5","Pop6","Pop7","Pop8","Pop9","Pop10","Pop11","Pop12","Pop13","Pop14","Pop15","Pop16","Pop17","Pop18","Pop19","Pop20","Pop21","Pop22","Pop23","Pop24","Pop25","Pop26","Pop27","Pop28","Pop29","Pop30","Pop31","Pop32","Pop33","Pop34","Pop35","Pop36","Pop37","Pop38","Pop39","Pop40","Pop41","Pop42","Pop43","Pop44","Pop45","Pop46","Pop47","Pop48"
"Mean",0.824074074074074,0.88496,0.8964,0.791857142857143,0.8488,0.91384,0.809928571428571,0.938695652173913,0.891166666666667,0.810296296296296,0.839692307692308,0.7486,0.807214285714286,0.852384615384615,0.865153846153846,0.833111111111111,0.86368,0.85584,0.833851851851852,0.856444444444444,0.812444444444444,0.861,0.811555555555556,0.807793103448276,0.774774193548387,0.800642857142857,0.92192,0.795925925925926,0.845285714285714,0.825214285714286,0.818714285714286,0.933153846153846,0.854551724137931,0.788071428571429,0.942166666666667,0.834466666666667,0.824967741935484,0.803806451612903,0.850928571428571,0.7996875,0.859461538461538,0.830666666666667,0.804866666666667,0.871259259259259,0.821533333333333,0.846533333333333,0.779625,0.850206896551724
"SE",0.00236549217847164,0.00159017423831995,0.0016430091168085,0.00176767007052271,0.00187770379535383,0.00233353800037591,0.00221437806295979,0.00153983563875957,0.00185914303528569,0.0018751712194105,0.00204578163938334,0.00203522530986168,0.00201193475968785,0.00170077551302261,0.00196460781449402,0.00236459950303803,0.00205849216174362,0.00207837149136342,0.00212962010976351,0.0020418551280471,0.00183125486175736,0.00210944061687421,0.00247051496651711,0.00204354269810147,0.00217555449360066,0.00163926841379842,0.00207103974158451,0.00169238427760303,0.00250851072719721,0.00247826220709881,0.00211513705285541,0.00142954608071695,0.00192956053009685,0.00197736516790373,0.00171101647478222,0.00246319783534351,0.0021921923154474,0.00285884728977721,0.00180580170527698,0.0021039550116107,0.00207063318555953,0.00215498366022072,0.00179355584636692,0.00169848399611847,0.00161039542147066,0.00176256124238427,0.00179004252868724,0.00184056098699663
