"","Pop1","Pop2","Pop3","Pop4","Pop5","Pop6","Pop7","Pop8","Pop9","Pop10","Pop11","Pop12","Pop13","Pop14","Pop15","Pop16","Pop17","Pop18","Pop19","Pop20","Pop21","Pop22","Pop23"
"Mean",0.812333333333333,0.803390243902439,0.842444444444444,0.836113636363636,0.94656880733945,0.763894736842105,0.802586956521739,0.801072164948454,0.809160305343511,0.982048780487805,0.846666666666667,0.790176470588235,0.980974358974359,1,0.833490566037736,0.868219512195122,0.816233009708738,0.8015,0.868927835051546,0.77744,0.797440677966102,0.795441441441441,0.831808695652174
"SE",0.00222255063260228,0.00253296273404957,0.00173931334602437,0.00202052555492639,0.0011045444106207,0.00173356060730325,0.00195701517598323,0.00209080273079627,0.00150157516451349,0.000675103394183635,0.00185482821843,0.00193050992683311,0.000717232643697796,0,0.00191919747135591,0.00238991844095058,0.00193428220335022,0.00196710166945075,0.00154230285328845,0.00295737617434137,0.00203297803642997,0.00189660005187242,0.00169451511575164
