"","Pop1","Pop2","Pop3","Pop4","Pop5","Pop6","Pop7","Pop8","Pop9","Pop10","Pop11","Pop12"
"Mean",0.805416666666667,0.809724137931034,0.809761904761905,0.882740740740741,0.789511111111111,0.784606060606061,0.7628,0.752628571428571,0.788333333333333,0.797485714285714,0.808105263157895,0.815125
"SE",0.00229744746687698,0.00270456858178537,0.00211832936764363,0.00214802529356895,0.00332169213433384,0.00214503792110714,0.00328777957665122,0.00229551149676447,0.00260827766881419,0.00215859513189433,0.00173087576677582,0.0026264906541453
