PopID,Lat,Long,Elev,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12,Tmax_DJF,Tmax_MAM,Tmax_JJA,Tmax_SON,Tmin_DJF,Tmin_MAM,Tmin_JJA,Tmin_SON,Tave_DJF,Tave_MAM,Tave_JJA,Tave_SON,PPT_DJF,PPT_MAM,PPT_JJA,PPT_SON,MAT,MWMT,MCMT,TD,MAP,AHM,DD_0,DD5,DD_18,DD18,NFFD,PAS,EMT,Eref,CMD
1,-36.35,-71.28,620,27.1,26,23,18.6,14.3,10.6,10.5,12.4,15.3,18.7,21.8,25.2,9.7,8.7,6.4,3.8,3.1,1.7,1.3,1.4,2.2,4.2,6.2,8.6,18.4,17.3,14.7,11.2,8.7,6.1,5.9,6.9,8.8,11.5,14,16.9,19,20,28,60,198,237,211,156,96,58,38,25,26.1,18.6,11.2,18.6,9,4.4,1.5,4.2,17.6,11.5,6.3,11.4,63,286,604,192,11.7,18.4,5.9,12.5,1145,19,0,2532,2395,0,299,127,6.2,1763,1190
2,-35.06,-72.04,200,27,26.2,23.8,19.9,15.7,13,12.5,13.5,16.5,19.5,22.3,25.6,11.3,10.5,8.8,6.7,5.9,4.9,3.8,3.7,5.3,6.8,8.7,10.2,19.1,18.4,16.3,13.3,10.8,8.9,8.2,8.6,10.9,13.1,15.5,17.9,3,5,6,45,137,198,187,103,54,35,23,11,26.3,19.8,13,19.4,10.7,7.1,4.1,6.9,18.5,13.4,8.6,13.2,20,188,488,113,13.4,19.1,8.2,11,808,29,0,3143,1813,0,341,35,10.2,1757,1327
3,-36.18,-71.24,710,26.3,25.2,22.3,18.1,14,10.3,10.3,12.2,15,18.3,21.2,24.5,9.5,8.6,6.6,4,3,1.7,1.4,1.4,2.1,4.2,6.1,8.4,17.9,16.9,14.5,11.1,8.5,6,5.8,6.8,8.5,11.3,13.7,16.5,17,20,28,55,180,219,195,148,87,50,34,21,25.3,18.2,10.9,18.2,8.8,4.5,1.5,4.1,17.1,11.3,6.2,11.2,58,263,562,170,11.4,17.9,5.8,12.1,1053,20.4,0,2436,2478,0,299,125,5.5,1717,1179
4,-34.1,-71.01,1110,25.7,24.7,22.2,18.7,14.1,10.7,10.8,12,14.3,17.5,20.8,23.9,9.2,8.2,6.5,4,2.4,0.9,0.7,0.7,1.7,4.1,5.7,8,17.4,16.5,14.3,11.3,8.3,5.8,5.7,6.3,8,10.8,13.2,16,2,5,5,40,134,186,181,100,54,37,21,8,24.8,18.3,11.2,17.5,8.5,4.3,0.7,3.8,16.6,11.3,5.9,10.7,15,180,467,111,11.1,17.4,5.7,11.7,774,27.3,0,2327,2588,0,288,112,4.8,1712,1292
5,-35.5,-72.3,220,25.1,24.4,22.1,18.8,14.9,12.5,12.1,13.2,15.7,18.2,20.6,23.7,10.5,9.9,8.3,6.5,5.7,4.9,4,3.8,4.8,6.2,8,9.5,17.8,17.2,15.2,12.6,10.3,8.7,8.1,8.5,10.3,12.2,14.3,16.6,9,11,14,43,165,235,202,142,70,47,24,15,24.4,18.6,12.6,18.2,10,6.8,4.2,6.3,17.2,12.7,8.4,12.3,35,222,579,141,12.6,17.8,8.1,9.7,978,23.2,0,2868,2044,0,339,46,8,1645,1178
6,-37.28,-71.58,340,27,25.8,23,19,14.5,10.9,10.8,12.6,15.8,19.2,21.7,24.7,9.8,8.7,6.9,4.8,4,3.5,3.4,3.1,3.4,4.9,6.5,8.8,18.4,17.3,14.9,11.9,9.3,7.2,7.1,7.9,9.6,12,14.1,16.7,27,31,44,84,244,278,263,194,127,74,57,41,25.8,18.8,11.4,18.9,9.1,5.2,3.3,4.9,17.5,12,7.4,11.9,99,372,735,257,12.2,18.4,7.1,11.3,1463,15.2,0,2706,2219,0,322,100,6,1737,1051
7,-35.26,-71.03,830,26.8,25.7,22.6,18.2,13.4,9.8,9.8,11.6,14.5,18,21.3,25.1,8.8,7.7,5.6,2.8,1.6,0.2,-0.3,0,1.4,3.4,5.4,7.7,17.8,16.7,14.1,10.5,7.5,5,4.7,5.8,8,10.7,13.4,16.4,14,15,22,55,189,235,203,151,88,50,32,14,25.8,18,10.4,18,8.1,3.3,0,3.4,17,10.7,5.2,10.7,43,266,589,170,10.9,17.8,4.7,13,1068,19.6,0,2240,2684,0,272,191,3.8,1755,1233
8,-35.59,-72.4,510,23.4,22.9,20.8,17.6,13.8,11.5,11.1,12.1,14.3,16.7,19.1,22.1,8.9,8.4,6.9,5.3,4.4,3.7,2.9,2.7,3.5,4.6,6.4,7.9,16.2,15.6,13.8,11.4,9.1,7.6,7,7.4,8.9,10.7,12.8,15,9,10,14,42,158,224,192,130,71,46,25,16,22.8,17.4,11.6,16.7,8.4,5.5,3.1,4.9,15.6,11.5,7.3,10.8,34,214,546,142,11.3,16.2,7,9.1,937,22.7,0,2381,2534,0,321,72,3.6,1573,1116
