"","Pop1","Pop2","Pop3","Pop4","Pop5","Pop6","Pop7","Pop8","Pop9","Pop10","Pop11","Pop12"
"Mean",0.955285714285714,0.90025,0.961857142857143,0.898266666666667,0.984571428571429,0.882533333333333,0.987846153846154,0.965333333333333,0.922461538461538,0.9825,0.9475,0.989294117647059
"SE",0.00184831303994096,0.00252241951316604,0.00221729660556397,0.00230655306480214,0.00131585064724371,0.00282078994859426,0.00125600383112153,0.00157021435528776,0.00352511877704002,0.00131946275579414,0.00212285492345853,0.00101604548810179
