"","Pop1","Pop2","Pop3","Pop4","Pop5","Pop6","Pop7","Pop8","Pop9","Pop10","Pop11","Pop12"
"Mean",0.86948031496063,0.896094488188976,0.886186440677966,0.847550387596899,0.856081300813008,0.842181818181818,0.859566666666667,0.86478125,0.868716666666667,0.913856,0.90191452991453,0.938672566371681
"SE",0.00248769156994161,0.0009863143463015,0.00141893534606342,0.00153894442533996,0.00177171187496957,0.00215010984125665,0.00199776149499149,0.00193277967968556,0.00193618564500568,0.00139762987465676,0.00177087551879358,0.000822746507524153
