"","Pop1","Pop2","Pop3","Pop4","Pop5","Pop6","Pop7","Pop8","Pop9","Pop10","Pop11","Pop12","Pop13","Pop14"
"Mean",1,0.950034782608696,0.957448275862069,0.949293103448276,0.904352941176471,0.908595041322314,0.890735632183908,0.914873949579832,0.878403669724771,0.904762711864407,0.920838095238095,0.907216666666667,0.910974789915966,0.9483
"SE",0,0.00176479640928625,0.00141688674540246,0.00139015564703976,0.0023306567178952,0.00180157403116811,0.00250677649710203,0.00212633692069351,0.00264361955574873,0.00167893334604694,0.00251718854889081,0.0019912706121054,0.00127865456934214,0.00109973479121094
