"","Pop1","Pop2","Pop3","Pop4","Pop5","Pop6","Pop7","Pop8","Pop9","Pop10","Pop11","Pop12","Pop13","Pop14"
"Mean",1,0.961739130434783,0.972137931034483,0.963620689655172,0.931193277310924,0.932611570247934,0.899310344827586,0.937126050420168,0.892715596330275,0.932237288135593,0.94232380952381,0.933416666666667,0.931109243697479,0.965416666666667
"SE",0,0.00155747263450497,0.00106488618670126,0.00124091949346091,0.00187492671038168,0.00147645965723143,0.00274129032155689,0.00182958287941519,0.00264090266393546,0.00124443876922789,0.0022349901813029,0.00161138702249725,0.00106366889438407,0.000777120431892421
