"","Pop1","Pop2","Pop3","Pop4","Pop5","Pop6","Pop7","Pop8","Pop9","Pop10","Pop11","Pop12","Pop13","Pop14","Pop15","Pop16","Pop17","Pop18","Pop19","Pop20","Pop21","Pop22","Pop23","Pop24","Pop25"
"Mean",0.750390960451977,0.817758405977584,0.784133697135061,0.913305315203956,0.950794904458599,0.948901618929016,0.85066323907455,0.927908212560386,0.926476309226933,0.884083018867925,0.704757969303424,0.792922404371585,0.745348235294118,0.66906432748538,0.772505096262741,0.773251184834123,0.779760273972603,0.748859259259259,0.701647904191617,0.688176115802171,0.677759699624531,0.744616996507567,0.741655963302752,0.769618929016189,0.631102181400689
"SE",0.00737124973909022,0.00820548604645758,0.00833472984728517,0.000407251413027937,0.000199464911874796,0.000111482982988434,0.00264682048683353,5.14370803797942e-05,0.000811045146561833,0.00347314811051098,0.0100726055298609,0.00526823343310145,0.00789898991907286,0.00881851995463189,0.00533087946151722,0.00830622925840981,0.00494514721085435,0.0103717552088497,0.00820367359514337,0.0110946362699795,0.0124570673287214,0.00692099449385701,0.00715634290099508,0.0101035789860538,0.00997538932079254
