"","Pop1","Pop2","Pop3","Pop4","Pop5","Pop6","Pop7","Pop8","Pop9","Pop10","Pop11","Pop12","Pop13","Pop14","Pop15","Pop16","Pop17","Pop18"
"Mean",0.736025974025974,0.58448,0.623914893617021,0.697744186046512,0.650636363636364,0.800712328767123,0.661102040816327,0.6462,0.589766990291262,0.647813953488372,0.74074358974359,0.879344262295082,0.864819672131148,0.693810810810811,0.874142857142857,0.626461538461539,0.647851063829787,0.679310344827586
"SE",0.00151378782900507,0.00142376733592737,0.00167538147217822,0.00139382985784317,0.00136523559590733,0.00151553361432184,0.00158285786885666,0.00207357648493557,0.00150617237003537,0.00236515337247189,0.00133525048637268,0.000974253857988326,0.00129325611380061,0.0022777745099032,0.00176115664641779,0.0019484588548565,0.00172733724588804,0.00177188771707672
