"","Pop1","Pop2","Pop3","Pop4","Pop5","Pop6","Pop7","Pop8","Pop9","Pop10","Pop11","Pop12","Pop13","Pop14","Pop15","Pop16","Pop17","Pop18"
"Mean",0.858987012987013,0.69588,0.734255319148936,0.818883720930233,0.743045454545455,0.919041095890411,0.798163265306122,0.76164,0.688330097087379,0.753279069767442,0.855846153846154,1,0.969409836065574,0.781675675675676,0.97175,0.733956043956044,0.747510638297872,0.782758620689655
"SE",0.00110398198661311,0.00164908768122278,0.00180012024049692,0.00132631910000572,0.00156508462674344,0.00134770840417992,0.00181110820002701,0.002207888208375,0.00161733391920153,0.00239573974297934,0.00113638072737753,0,0.000822474266775515,0.00217845644875571,0.000948312206534174,0.0021666346928604,0.00168611918370056,0.00195489675202021
