"","Pop1","Pop2","Pop3","Pop4","Pop5","Pop6","Pop7","Pop8","Pop9","Pop10","Pop11","Pop12","Pop13","Pop14","Pop15","Pop16","Pop17","Pop18","Pop19","Pop20","Pop21","Pop22","Pop23","Pop24","Pop25","Pop26"
"Mean",0.153,0.122505494505494,0.14744,0.133444444444444,0.152816901408451,0.147130434782609,0.184769230769231,0.146305555555556,0.14672972972973,0.221551020408163,0.170196721311475,0.153464788732394,0.161446153846154,0.182169491525424,0.167934426229508,0.178925925925926,0.2377,0.133283582089552,0.191720930232558,0.14244776119403,0.191238095238095,0.212,0.198434782608696,0.444695652173913,0.16231746031746,0.172523076923077
"SE",0.000746397907896777,0.000774403662376734,0.000804936008194384,0.00135512511828137,0.000855147980722019,0.00119575377817105,0.00101946524610051,0.00093899876692259,0.000922587469250377,0.00124170414393325,0.00131853531937275,0.000972944027204475,0.00102753219611791,0.00117262722953081,0.00112559300426076,0.00140778140014839,0.0015089645283756,0.0011348941565201,0.00213672864793311,0.00109055419184941,0.00167274802879994,0.00106758325833703,0.00190991212827952,0.00266871787085702,0.000794739209773398,0.00106787895599507
