"","Pop1","Pop2","Pop3","Pop4","Pop5","Pop6","Pop7","Pop8","Pop9","Pop10","Pop11","Pop12","Pop13","Pop14","Pop15","Pop16","Pop17","Pop18","Pop19","Pop20","Pop21","Pop22","Pop23","Pop24","Pop25","Pop26"
"Mean",0.924135135135135,0.808505494505494,0.807973333333333,0.846222222222222,0.826732394366197,0.925275362318841,1,0.824972222222222,0.855054054054054,0.947224489795918,0.932459016393443,0.939352112676056,0.938276923076923,0.966779661016949,0.928491803278689,0.922,0.91405,0.833492537313433,0.940837209302326,0.923253731343284,0.943857142857143,0.943236363636364,0.926347826086957,0.979391304347826,0.928190476190476,0.923353846153846
"SE",0.00180402375228146,0.00118601645465751,0.00136585534025749,0.00217975453208248,0.00206001873721586,0.00146913063919369,0,0.00243926541653124,0.00164951501906935,0.00170394723906088,0.00120175763689789,0.00154241194291192,0.00121491562214499,0.000872527524204447,0.00120653348726594,0.0015048297459258,0.00260696903992938,0.00170026681204803,0.00168385795832821,0.00119780681609422,0.00154231033230772,0.00114966447953684,0.00166565627469523,0.00198616273902028,0.00109193343462937,0.00126349207862555
