"","Pop1","Pop2","Pop3","Pop4","Pop5","Pop6","Pop7","Pop8","Pop9","Pop10","Pop11","Pop12","Pop13","Pop14","Pop15","Pop16","Pop17","Pop18","Pop19","Pop20"
"Mean",0.94362962962963,0.919111111111111,0.9190625,0.949307692307692,0.906628571428571,0.937071428571429,0.923371428571429,0.932965517241379,0.919,0.93248,0.923310344827586,0.921083333333333,0.949657142857143,0.916368421052632,0.925722222222222,0.902571428571429,0.918555555555556,0.897,0.9083125,0.901771428571429
"SE",0.00178689305685554,0.00168872070791257,0.00180127040937094,0.00162694156259849,0.00226507139927783,0.00189263093571348,0.00191806993361942,0.00226495734261917,0.00223984881953171,0.0021327908461889,0.00185870031108185,0.00210266912158564,0.00149233916828673,0.00184406904832606,0.00158454045403745,0.00178235871382877,0.0018575204564078,0.00200805355781515,0.00167735669685281,0.00159246312874375
