"","Pop1","Pop2","Pop3","Pop4","Pop5","Pop6","Pop7","Pop8","Pop9","Pop10","Pop11","Pop12","Pop13","Pop14","Pop15","Pop16","Pop17","Pop18","Pop19","Pop20"
"Mean",0.901185185185185,0.861944444444444,0.8619375,0.909923076923077,0.849485714285714,0.894142857142857,0.877828571428571,0.884965517241379,0.8628,0.89008,0.875172413793103,0.870416666666667,0.906228571428571,0.858473684210526,0.873888888888889,0.839257142857143,0.859333333333333,0.839529411764706,0.852875,0.844685714285714
"SE",0.00241282583395922,0.00221647414015896,0.00207273754231902,0.00215946271585416,0.00268175573677863,0.00231173458793146,0.00252323836190895,0.00288094488741459,0.00276704209088955,0.00257036977915692,0.00230393559178067,0.00234896413067476,0.00187039732679323,0.00228163609062571,0.0021119078762239,0.00218191300143579,0.00243926700133415,0.00247868642403478,0.0018741313953333,0.00174338505096639
