"","Pop1","Pop2","Pop3","Pop4","Pop5","Pop6","Pop7","Pop8","Pop9","Pop10"
"Mean",0.896567164179104,0.945258064516129,0.876835820895522,0.879815384615385,0.838787878787879,0.867809523809524,0.940109090909091,0.907111111111111,0.900444444444444,0.921178571428571
"SE",0.00135242505080347,0.00130980428382748,0.0017637801556442,0.00165529202842734,0.00151156434535916,0.00166165152472444,0.00131533802215346,0.00116643484552947,0.00139573734003646,0.00124423643647185
