"","Pop1","Pop2","Pop3","Pop4","Pop5","Pop6","Pop7","Pop8","Pop9","Pop10"
"Mean",0.921074015748031,0.989497487437186,0.935875,0.935761609907121,0.934187692307692,0.946616113744076,0.980731871838111,0.944892744479495,0.993939086294416,0.984381107491857
"SE",0.000575342433255852,0.000266520342691085,0.00050506533563448,0.000412642829278421,0.000532033315757262,0.00036633506958467,0.000252556791132671,0.000438493990833026,0.000186331262742346,0.000294049472769346
