"","Pop1","Pop2","Pop3","Pop4","Pop5","Pop6","Pop7","Pop8","Pop9","Pop10"
"Mean",0.927218897637795,0.995018425460636,0.942435975609756,0.941696594427245,0.940495384615385,0.95242654028436,0.986428330522766,0.950305993690852,1,0.988641693811075
"SE",0.000555751060462737,0.00019189940756519,0.000445512115688776,0.000423787173433149,0.00052288608130986,0.000358386809029312,0.00021258044062008,0.000365192685374294,0,0.00026114591856391
