"","Pop1","Pop2","Pop3","Pop4","Pop5","Pop6","Pop7","Pop8","Pop9","Pop10","Pop11","Pop12","Pop13","Pop14","Pop15","Pop16","Pop17","Pop18","Pop19","Pop20","Pop21","Pop22","Pop23","Pop24","Pop25","Pop26","Pop27","Pop28","Pop29","Pop30","Pop31"
"Mean",0.856666666666667,0.9065,0.90540350877193,0.825396825396825,0.908928571428571,0.927904761904762,0.933222222222222,0.905714285714286,0.907178571428571,0.888233333333333,0.872983050847458,0.904072727272727,0.880533333333333,0.845174603174603,0.855746031746032,0.901309090909091,0.875228070175439,0.836631578947368,0.871309090909091,0.958488888888889,0.91424,0.87680701754386,0.908271186440678,0.892083333333333,0.824571428571429,0.906581818181818,0.879464285714286,0.87804,0.915192307692308,0.863054545454545,0.795375
"SE",0.00218239754660699,0.00149046085469013,0.0015466697345372,0.00226181337706995,0.00174224210424196,0.00166890108439951,0.00142017727466759,0.00161738869109142,0.0019657322316157,0.00196376153986107,0.00218091813947765,0.00159742418409,0.001214057056212,0.00153482028321102,0.00303109952741865,0.00208607820743862,0.00243686035623974,0.00266409333718637,0.00264294427506779,0.00122751470465016,0.00315085712167378,0.00227371570062264,0.00156865695922448,0.00172160214306009,0.00331079314877516,0.00134802038040645,0.00251517570963815,0.00154463218183304,0.00299483681735429,0.00284351486252164,0.00377343628444758
