"Npop2","Npop3","Npop4","Npop5","Npop6","Npop7","Npop8","Npop9","Npop10","Npop11","Npop12"
0.0296,-0.0103,0.0064,0.0029,0.0149,-0.0105,0.0152,-0.0031,0.0023,-1e-04,-0.001
-0.0608,0.0358,0.0305,0.0112,-0.0073,-0.0194,0.0054,-0.0013,0.0037,-0.0054,-0.001
-0.0021,0.044,0.0035,0.0135,-0.0021,0.0064,0.0134,-0.005,-0.0036,0.0021,-0.001
-0.016,-0.0082,0.0265,-0.0155,-0.0102,0.0064,-0.004,0.0069,0.0016,-0.0022,-0.001
0.0165,-0.0039,-0.0136,0.0027,6e-04,0.0184,-4e-04,-0.0083,-1e-04,0.0062,-0.001
0.0174,-0.0207,0.0231,-0.0034,-0.0037,-0.0143,-0.0189,-0.0067,0.0013,-1e-04,-0.001
0.0183,-0.013,-0.0018,-0.0025,-0.006,0.0096,-0.0071,-0.0017,-0.0028,-0.002,-0.001
-0.0088,0.0026,0.0034,0.0021,-6e-04,0.0185,-0.014,-2e-04,-0.0044,3e-04,-0.001
0.0299,-0.0067,0.007,0.0216,0.0137,0.0182,-0.0089,0.0052,-0.001,3e-04,-0.001
-0.0117,-0.0244,0.0117,0.0084,-0.0126,9e-04,-0.0027,0.0119,-0.0097,-0.002,-0.001
-0.0021,0.0122,-7e-04,-0.0106,-0.0054,-0.0041,-0.0092,0.004,-0.0065,-0.0057,-0.001
0.0296,0.0014,-0.0391,0.0146,0.0177,0.0203,-0.0095,-0.0062,-0.0076,-0.008,-0.001
0.048,-0.023,-0.0076,-0.0095,-0.0056,0.0208,0.0028,5e-04,0.003,0.0062,-0.001
-0.0129,0.0089,-0.0031,0.002,0.0135,0.0201,-0.0063,-0.0133,-0.0051,-0.008,-0.001
-0.0066,0.0154,-0.0098,-0.0021,0.0199,-0.0057,0.0115,-0.0137,-0.0061,9e-04,-0.001
-0.025,-0.0436,-0.0178,0.0182,-0.021,0.0192,0.002,0.003,-0.0061,0.0021,-0.001
0.0313,0.0358,0.0238,-0.0038,-0.0133,0.0109,-0.009,0.0031,-0.0032,-0.002,-0.001
-0.0129,-0.0025,-0.0323,-0.0051,0.0159,-0.0082,-0.0013,0.0016,0.003,0.0021,-0.001
0.0421,0.0029,0.005,-0.0132,-0.0228,-0.008,-0.0033,-0.0019,-0.0065,-0.0022,-0.001
-0.0172,0.0358,0.0081,0.0051,-0.0142,-0.0086,0.0033,0,-0.0012,3e-04,-0.001
0.0421,0.036,-0.0031,0.0031,-0.0083,0.0053,-0.005,-0.0097,-0.0047,-0.0054,-0.001
-0.0486,0.015,-0.005,-0.0041,0.013,0.0096,-0.0076,0,0.005,0.0021,-0.001
-0.0117,0.0082,0.0235,0.0094,-0.0097,0.0134,0.0039,0.0032,0.0013,0.0062,-0.001
