"Npop2","Npop3","Npop4","Npop5","Npop6","Npop7","Npop8","Npop9","Npop10","Npop11","Npop12"
9e-04,0.0098,0.006,0.0052,0.0036,0.004,0.0061,0.0043,0.0058,0.0039,0.0037
0.0114,0.0058,0.0026,0.0103,0.0041,0.006,0.0015,0.0029,0.0037,0.0024,0.0037
0.014,0.0021,0.0016,0.0023,0.0053,0.0046,0.0055,0.0034,0.0031,0.0024,0.0037
0.0148,-3e-04,0.0038,-0.0013,0.0045,0.0033,0.0029,0.0022,0.0036,0.0024,0.0037
0.0129,0.008,-0.0013,0.0017,0.0037,0.0035,0.0061,0.0055,0.0045,0.0051,0.0037
-0.0042,0.0021,0.0053,-6e-04,0.0067,0.0019,0.0032,0.0025,0.0052,0.0037,0.0037
0.0121,0.004,0.0064,0.0028,-9e-04,0.0045,0.0011,0.0018,0.0032,0.0037,0.0037
0.0139,0.0119,0.002,0.0049,0.0042,0.0043,0.002,0.0041,0.0022,0.0039,0.0037
0.0202,0.0128,0.0081,0.0029,0.0063,0.0051,0.0022,0.0044,0.0029,0.0037,0.0037
0,0.0062,0.0075,0.0088,0.0024,0.0048,0.0036,0.0055,0.0037,0.0051,0.0037
0.0121,0.0038,0.0044,0.0024,0.0051,0.0055,0.0034,0.0027,0.003,0.0039,0.0037
0.0074,0.0132,0.0012,0.0057,0.0027,0.0042,0.0039,0.0027,0.0027,0.0051,0.0037
0.0047,0.0021,3e-04,0.0059,0.0024,0.0033,0.0047,0.0016,0.0025,0.0039,0.0037
0.0014,0.0021,4e-04,0.0028,0.0079,0.0048,0.0046,0.0035,0.0038,0.0041,0.0037
-0.0073,-0.0043,0.0045,0.0027,0.009,0.0052,0.0033,0.0031,0.0052,0.003,0.0037
0.0103,0.0024,0.0026,0.0031,0.0036,0.0056,0.0013,0.0047,0.0028,0.0041,0.0037
-0.0041,0.0014,0.005,-5e-04,0.0012,0.0055,0.0036,0.0045,0.0018,0.0039,0.0037
0.0033,0.0035,3e-04,0.001,0.0016,0.0025,0.0036,0.0027,0.0039,0.0041,0.0037
-0.0093,1e-04,-0.001,0.0053,0.0046,0.0011,0.0053,0.0066,0.0025,0.0031,0.0037
9e-04,-0.001,-0.0014,0.0058,0.003,0.006,0.0058,0.0059,0.0052,0.0039,0.0037
-9e-04,0.0047,0.0089,0.0064,0.003,0.0021,0.003,0.0016,0.003,0.0037,0.0037
-9e-04,0.0012,0.0043,-0.001,0.0018,0.0039,0.0059,0.0047,0.0024,0.0039,0.0037
-0.01,0.0074,3e-04,0.0036,0.0046,0.0029,0.005,0.0036,0.0053,0.0037,0.0037
0.0074,0.0155,0.0055,4e-04,0.0026,0.0011,0.0056,0.0044,0.0034,0.0041,0.0037
0.0077,-0.0105,0.0036,0.0072,0.0018,6e-04,0.004,0.0016,0.0052,0.0031,0.0037
-0.0178,0.0021,-5e-04,0.0076,0.0029,0.006,0.0036,0.0037,0.0031,0.0033,0.0037
0.0071,-0.0056,0.002,0.0098,0.0049,0.0041,0.0035,0.001,0.0028,0.0037,0.0037
-0.0058,0.0092,-0.0073,0.0062,0.0062,-6e-04,0.0032,0.0044,0.0044,0.0051,0.0037
-7e-04,0.0063,-0.001,0.0052,0.0055,0.0058,0.0047,0.0025,0.0024,0.0039,0.0037
0.0061,-7e-04,0.0044,0.0017,-3e-04,0.0061,5e-04,0.0017,0.0049,0.0033,0.0037
0.0034,0.0026,0.0031,0.0049,9e-04,0.0019,0.006,0.003,0.0028,0.0041,0.0037
-0.0065,-0.0011,0.006,0.0061,0.0027,0.0037,0.003,0.0034,0.0025,0.0051,0.0037
0.0225,0.0051,0.0032,0.0061,0.0075,0.006,0.0032,0.0032,0.0034,0.0037,0.0037
-0.0065,0.0037,0.0077,0.0031,0.0022,0.0013,5e-04,0.0023,0.0025,0.0037,0.0037
-1e-04,0.003,0.0033,0.0043,0.0032,0.0031,0.0052,0.0028,0.0029,0.0037,0.0037
0.0103,0.0046,2e-04,0.0076,7e-04,0.0038,0.0013,0.0025,0.0027,0.0037,0.0037
-0.0058,0.0062,0.0051,0.0036,0.0043,0.0058,0.0025,0.0054,0.0037,0.0031,0.0037
0.0172,0.0042,0.0058,9e-04,0.0018,0.0038,0.0065,0.0035,0.0047,0.0024,0.0037
-0.01,0.0063,0.0079,-0.0055,0.0031,0.0015,0.0032,0.0052,0.0038,0.0041,0.0037
0.0101,0.0021,0.0027,-0.0013,0.0055,0.0051,0.0064,0.0035,0.0027,0.0033,0.0037
